Year	Month	Oil[mill Sm3]	Gas[bill Sm3]	Condensate[mill Sm3]	oil equivalents [mill Sm3]	Produced water in field [mill Sm3]
1993	10	0.018566	0.000851	0	0.019417	0
1993	11	0.077096	0.003634	0	0.08073	0
1993	12	0.027472	0.001342	0	0.028814	0
1994	1	0.139025	0.006485	0	0.14551	0
1994	2	0.034638	0.001401	0	0.036039	0
1994	3	0.066299	0.002436	0	0.068735	0
1994	4	0.164993	0.006542	0	0.171535	0
1994	5	0.127326	0.005246	0	0.132572	0
1994	6	0.316229	0.014223	0	0.330452	0.000592
1994	7	0.341093	0.017709	0	0.358802	0.000651
1994	8	0.524849	0.028909	0	0.553758	0.005915
1994	9	0.517753	0.028766	0	0.546519	0.010965
1994	10	0.525817	0.029251	0	0.555068	0.013274
1994	11	0.524646	0.027001	0	0.551647	0.01597
1994	12	0.604314	0.031221	0	0.635535	0.017609
1995	1	0.361651	0.018746	0	0.380397	0
1995	2	0.53311	0.028819	0	0.561929	0
1995	3	0.495214	0.026962	0	0.522176	0
1995	4	0.53751	0.029422	0	0.566932	0
1995	5	0.649736	0.035375	0	0.685111	0
1995	6	0.361664	0.020124	0	0.381788	0
1995	7	0.671807	0.034366	0	0.706173	0
1995	8	0.654936	0.033351	0	0.688287	0
1995	9	0.6815	0.035051	0	0.716551	0
1995	10	0.683248	0.035104	0	0.718352	0
1995	11	0.660368	0.034126	0	0.694494	0
1995	12	0.680146	0.035794	0	0.71594	0
1996	1	0.666742	0.034222	0	0.700964	0
1996	2	0.681726	0.03519	0	0.716916	0
1996	3	0.734139	0.038098	0	0.772237	0
1996	4	0.614604	0.031598	0	0.646202	0
1996	5	0.402055	0.021558	0	0.423613	0
1996	6	0.726828	0.039291	0	0.766119	0
1996	7	0.747043	0.040773	0	0.787816	0
1996	8	0.737026	0.040144	0	0.77717	0
1996	9	0.723667	0.040101	0	0.763768	0
1996	10	0.784754	0.043348	0	0.828102	0
1996	11	0.771709	0.044082	0	0.815791	0
1996	12	0.85405	0.048872	0	0.902922	0
1997	1	0.892131	0.051325	0	0.943456	0
1997	2	0.779394	0.044601	0	0.823995	0
1997	3	0.7017	0.038235	0	0.739935	0
1997	4	0.868763	0.046158	0	0.914921	0
1997	5	0.655756	0.035053	0	0.690809	0
1997	6	0.866305	0.046319	0	0.912624	0
1997	7	0.904225	0.047215	0	0.95144	0
1997	8	0.946119	0.049726	0	0.995845	0
1997	9	0.934848	0.046404	0	0.981252	0
1997	10	0.949318	0.047096	0	0.996414	0
1997	11	0.948049	0.046695	0	0.994744	0
1997	12	1.005003	0.048557	0	1.05356	0.00118
1998	1	0.978812	0.048126	0	1.026938	0.001308
1998	2	0.881095	0.043819	0	0.924914	0.007034
1998	3	0.76545	0.037669	0	0.803119	0.014654
1998	4	0.957301	0.046978	0	1.004279	0.017983
1998	5	0.785619	0.037981	0	0.8236	0.0085
1998	6	0.929634	0.046928	0	0.976562	0.015606
1998	7	0.959745	0.047133	0	1.006878	0.017089
1998	8	1.009358	0.048092	0	1.05745	0.01916
1998	9	0.951888	0.044566	0	0.996454	0.01908
1998	10	1.008011	0.049681	0	1.057692	0.020878
1998	11	0.969919	0.048704	0	1.018623	0.020429
1998	12	0.997287	0.050107	0	1.047394	0.021702
1999	1	1.013416	0.050708	0	1.064124	0.021413
1999	2	0.917411	0.045945	0	0.963356	0.018593
1999	3	1.017673	0.050679	0	1.068352	0.023161
1999	4	0.993209	0.049426	0	1.042635	0.022607
1999	5	0.813445	0.040372	0	0.853817	0.01663
1999	6	1.011423	0.050804	0	1.062227	0.025053
1999	7	1.077744	0.055841	0	1.133585	0.025841
1999	8	1.098654	0.058093	0	1.156747	0.022763
1999	9	1.060814	0.059529	0	1.120343	0.01993
1999	10	1.084519	0.061585	0	1.146104	0
1999	11	1.010108	0.057131	0	1.067239	0
1999	12	1.04057	0.059061	0	1.099631	0
2000	1	0.870112	0.048947	0	0.919059	0.015538
2000	2	0.934997	0.05312	0	0.988117	0.017726
2000	3	0.986486	0.056737	0	1.043223	0.019629
2000	4	1.054308	0.059897	0	1.114205	0.021883
2000	5	1.064356	0.061235	0	1.125591	0.016318
2000	6	0.586732	0.033362	0	0.620094	0.010937
2000	7	1.070645	0.061496	0	1.132141	0.023595
2000	8	1.090485	0.062969	0	1.153454	0.020569
2000	9	0.988028	0.056788	0	1.044816	0.015783
2000	10	1.071971	0.061995	0	1.133966	0.025764
2000	11	1.046664	0.059323	0	1.105987	0.026047
2000	12	0.979383	0.055874	0	1.035257	0.024638
2001	1	1.095347	0.060967	0	1.156314	0.029628
2001	2	0.640141	0.037616	0	0.677757	0.01528
2001	3	1.080537	0.060364	0	1.140901	0.022687
2001	4	1.048719	0.058778	0	1.107497	0.016974
2001	5	0.557198	0.031342	0	0.58854	0.005084
2001	6	1.057944	0.058766	0	1.11671	0.022076
2001	7	1.089345	0.060353	0	1.149698	0.02869
2001	8	1.091835	0.062735	0	1.15457	0.025037
2001	9	1.032093	0.056892	0	1.088985	0.025704
2001	10	1.089311	0.060201	0	1.149512	0.026981
2001	11	0.983011	0.053956	0	1.036967	0.019526
2001	12	1.093707	0.061012	0	1.154719	0.011239
2002	1	0.897224	0.050405	0	0.947629	0.017406
2002	2	0.92999	0.050927	0	0.980917	0.020792
2002	3	1.03512	0.056979	0	1.092099	0.029041
2002	4	1.005936	0.056632	0	1.062568	0.044202
2002	5	1.019363	0.059767	0	1.07913	0.039828
2002	6	0.99764	0.056937	0	1.054577	0.04134
2002	7	1.014511	0.058813	0	1.073324	0.063204
2002	8	0.9562	0.054272	0	1.010472	0.086899
2002	9	0.93169	0.055606	0	0.987296	0.103934
2002	10	0.922042	0.052704	0	0.974746	0.143846
2002	11	0.900544	0.050817	0	0.951361	0.142517
2002	12	0.456932	0.024662	0	0.481594	0.09463
2003	1	0.697641	0.03861	0	0.736251	0.053285
2003	2	0.701277	0.041081	0	0.742358	0.126003
2003	3	0.774795	0.045205	0	0.82	0.189175
2003	4	0.773674	0.046532	0	0.820206	0.23209
2003	5	0.327668	0.018022	0	0.34569	0.047668
2003	6	0.620516	0.034382	0	0.654898	0.17837
2003	7	0.611529	0.034081	0	0.64561	0.197279
2003	8	0.618294	0.034508	0	0.652802	0.211706
2003	9	0.595917	0.03275	0	0.628667	0.208183
2003	10	0.604304	0.033313	0	0.637617	0.208322
2003	11	0.531615	0.029397	0	0.561012	0.20811
2003	12	0.576955	0.03177	0	0.608725	0.290582
2004	1	0.566682	0.031105	0	0.597787	0.312644
2004	2	0.505046	0.02824	0	0.533286	0.284042
2004	3	0.565496	0.031141	0	0.596637	0.345213
2004	4	0.672714	0.040037	0	0.712751	0.275652
2004	5	0.72481	0.040027	0	0.764837	0.318077
2004	6	0.757657	0.041417	0	0.799074	0.39579
2004	7	0.75099	0.042787	0	0.793777	0.473571
2004	8	0.725729	0.041686	0	0.767415	0.480744
2004	9	0.653141	0.037422	0	0.690563	0.453328
2004	10	0.694596	0.040141	0	0.734737	0.516793
2004	11	0.635872	0.035927	0	0.671799	0.470979
2004	12	0.554568	0.03206	0	0.586628	0.431388
2005	1	0.516768	0.029368	0	0.546136	0.285636
2005	2	0.568857	0.032914	0	0.601771	0.46456
2005	3	0.467438	0.026918	0	0.494356	0.340908
2005	4	0.569483	0.032759	0	0.602242	0.515975
2005	5	0.369597	0.02146	0	0.391057	0.257169
2005	6	0.587943	0.034079	0	0.622022	0.625205
2005	7	0.546339	0.032117	0	0.578456	0.592072
2005	8	0.499904	0.029373	0	0.529277	0.595486
2005	9	0.479056	0.027966	0	0.507022	0.5647
2005	10	0.488277	0.028629	0	0.516906	0.585941
